username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
stumphole145,,,35.3,,13.23,25.0,0.8688,0.9153,31.98,True,40.22,1,338.0,"stumphole145 scores 31.98 with bancho score 35.3, consistency score 25.0, recent tournament form 13.2; reliability 0.869, activity 0.915, provisional",{}
Razekon,,,21.73,,18.66,25.0,0.8688,0.9153,31.98,True,40.22,1,338.0,"Razekon scores 31.98 with consistency score 25.0, bancho score 21.7, recent tournament form 18.7; reliability 0.869, activity 0.915, provisional",{}
Lineu,,,37.06,,11.89,25.0,0.8688,0.9154,31.89,True,40.09,1,337.0,"Lineu scores 31.89 with bancho score 37.1, consistency score 25.0, recent tournament form 11.9; reliability 0.869, activity 0.915, provisional",{}
Luccachu,,,37.39,,11.73,25.0,0.8688,0.9154,31.88,True,40.09,1,337.0,"Luccachu scores 31.88 with bancho score 37.4, consistency score 25.0, recent tournament form 11.7; reliability 0.869, activity 0.915, provisional",{}
Tuffynut Latte,,,28.11,,15.19,25.0,0.8688,0.9154,31.84,True,40.04,1,337.0,"Tuffynut Latte scores 31.84 with bancho score 28.1, consistency score 25.0, recent tournament form 15.2; reliability 0.869, activity 0.915, provisional",{}
Tsubaban,,,22.95,,16.84,25.0,0.8688,0.9153,31.77,True,39.95,1,338.0,"Tsubaban scores 31.77 with consistency score 25.0, bancho score 22.9, recent tournament form 16.8; reliability 0.869, activity 0.915, provisional",{}
Yoari,,,21.67,,16.21,25.0,0.8688,0.9153,31.59,True,39.73,1,338.0,"Yoari scores 31.59 with consistency score 25.0, bancho score 21.7, recent tournament form 16.2; reliability 0.869, activity 0.915, provisional",{}
Jehn,,,23.52,,15.28,25.0,0.8688,0.9158,31.58,True,39.69,1,332.0,"Jehn scores 31.58 with consistency score 25.0, bancho score 23.5, recent tournament form 15.3; reliability 0.869, activity 0.916, provisional",{}
D I O,,,22.4,,21.62,25.0,0.85,0.9083,31.55,True,40.87,0,449.0,"D I O scores 31.55 with consistency score 25.0, bancho score 22.4, recent tournament form 21.6; reliability 0.850, activity 0.908, provisional",{}
UC2,,,20.75,,15.56,25.0,0.8688,0.9154,31.43,True,39.52,1,337.0,"UC2 scores 31.43 with consistency score 25.0, bancho score 20.7, recent tournament form 15.6; reliability 0.869, activity 0.915, provisional",{}
