username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
Alyra,,,55.04,,53.24,50.0,0.8688,0.9409,43.48,True,53.19,1,161.0,"Alyra scores 43.48 with bancho score 55.0, recent tournament form 53.2, consistency score 50.0; reliability 0.869, activity 0.941, provisional",{}
Emilbus,,,45.81,,49.27,78.4,0.8688,0.9459,43.43,True,52.85,1,140.0,"Emilbus scores 43.43 with consistency score 78.4, recent tournament form 49.3, bancho score 45.8; reliability 0.869, activity 0.946, provisional",{}
Ledeau_Fox,,,53.35,,46.2,77.74,0.8688,0.9457,43.31,True,52.71,1,141.0,"Ledeau_Fox scores 43.31 with consistency score 77.7, bancho score 53.4, recent tournament form 46.2; reliability 0.869, activity 0.946, provisional",{}
spray-,,,37.82,,49.61,89.56,0.8688,0.9439,43.3,True,52.81,1,148.0,"spray- scores 43.30 with consistency score 89.6, recent tournament form 49.6, bancho score 37.8; reliability 0.869, activity 0.944, provisional",{}
helvetia,,,40.67,,58.52,50.0,0.8688,0.9409,43.24,True,52.9,1,161.0,"helvetia scores 43.24 with recent tournament form 58.5, consistency score 50.0, bancho score 40.7; reliability 0.869, activity 0.941, provisional",{}
LyeRR,,,43.76,,47.71,87.06,0.8688,0.9439,43.23,True,52.71,1,148.0,"LyeRR scores 43.23 with consistency score 87.1, recent tournament form 47.7, bancho score 43.8; reliability 0.869, activity 0.944, provisional",{}
Wanderio,,,41.37,,52.25,70.68,0.8688,0.9478,43.15,True,52.41,1,133.0,"Wanderio scores 43.15 with consistency score 70.7, recent tournament form 52.2, bancho score 41.4; reliability 0.869, activity 0.948, provisional",{}
NYASH,,,52.43,,49.79,64.07,0.8688,0.9442,43.14,True,52.59,1,147.0,"NYASH scores 43.14 with consistency score 64.1, bancho score 52.4, recent tournament form 49.8; reliability 0.869, activity 0.944, provisional",{}
F2X,,,39.72,,58.64,50.0,0.8688,0.9409,43.12,True,52.74,1,161.0,"F2X scores 43.12 with recent tournament form 58.6, consistency score 50.0, bancho score 39.7; reliability 0.869, activity 0.941, provisional",{}
Stixe,,,53.47,,44.93,81.7,0.8688,0.9439,43.11,True,52.57,1,148.0,"Stixe scores 43.11 with consistency score 81.7, bancho score 53.5, recent tournament form 44.9; reliability 0.869, activity 0.944, provisional",{}
chests,,,31.12,,52.18,88.68,0.8688,0.9425,43.07,True,52.6,1,154.0,"chests scores 43.07 with consistency score 88.7, recent tournament form 52.2, bancho score 31.1; reliability 0.869, activity 0.943, provisional",{}
palr,,,42.07,,51.42,71.34,0.8688,0.9494,43.03,True,52.17,1,127.0,"palr scores 43.03 with consistency score 71.3, recent tournament form 51.4, bancho score 42.1; reliability 0.869, activity 0.949, provisional",{}
perthed again,,,58.49,,46.21,67.89,0.8688,0.9425,42.97,True,52.47,1,154.0,"perthed again scores 42.97 with consistency score 67.9, bancho score 58.5, recent tournament form 46.2; reliability 0.869, activity 0.943, provisional",{}
bananachi,,,57.14,,42.72,83.64,0.8688,0.9423,42.91,True,52.42,1,155.0,"bananachi scores 42.91 with consistency score 83.6, bancho score 57.1, recent tournament form 42.7; reliability 0.869, activity 0.942, provisional",{}
Pinguinzi,,,49.04,,46.1,81.37,0.8688,0.9457,42.85,True,52.16,1,141.0,"Pinguinzi scores 42.85 with consistency score 81.4, bancho score 49.0, recent tournament form 46.1; reliability 0.869, activity 0.946, provisional",{}
AllyrD,,,49.29,,45.02,85.73,0.8688,0.9439,42.83,True,52.22,1,148.0,"AllyrD scores 42.83 with consistency score 85.7, bancho score 49.3, recent tournament form 45.0; reliability 0.869, activity 0.944, provisional",{}
fudge,,,57.92,,43.26,77.46,0.8688,0.9457,42.72,True,52.0,1,141.0,"fudge scores 42.72 with consistency score 77.5, bancho score 57.9, recent tournament form 43.3; reliability 0.869, activity 0.946, provisional",{}
Ruyaya,,,33.74,,52.95,77.32,0.8688,0.9442,42.65,True,51.99,1,147.0,"Ruyaya scores 42.65 with consistency score 77.3, recent tournament form 53.0, bancho score 33.7; reliability 0.869, activity 0.944, provisional",{}
maxim,,,50.46,,42.27,92.71,0.8688,0.9457,42.64,True,51.9,1,141.0,"maxim scores 42.64 with consistency score 92.7, bancho score 50.5, recent tournament form 42.3; reliability 0.869, activity 0.946, provisional",{}
