#REF!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Group Stage ⬥ Performance Scores,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,
,,★,#1,PE:,,[MG]Arnold24x24,1.659,21 / 21,10 / 11,"856,935",99.11%,,NM2,SS,"1,009,801",,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,,#79,AT:,,Teppi Fangirl,1.107,5 / 21,2 / 11,"789,465",99.13%,,NM3,S,"994,400",,,,,
,,★,#80,IT:,,MeOwz,1.105,11 / 15,5 / 11,"687,517",98.43%,,NM2,S,"997,068",,,,,
,,,#81,PH:,,ZaNy_,1.101,9 / 22,5 / 11,"757,386",98.88%,,NM4,S,"970,048",,,,,
,,,#82,AR:,,viciobylike,1.097,14 / 22,9 / 11,"697,832",98.58%,,FM3,S,"988,547",,,,,
,,,#83,AR:,,Bomilk,1.096,14 / 22,10 / 11,"641,157",97.94%,,NM5,S,"968,098",,,,,
,,,#84,BR:,,Kurumiw,1.095,11 / 22,8 / 11,"734,887",97.02%,,HD1, S ,"944,522",,,,,
,,,#85,SE:,,Andros,1.095,15 / 23,7 / 11,"659,149",97.00%,,NM2,S,"949,539",,,,,
,,,#86,SE:,,trumpatino69,1.095,15 / 23,8 / 11,"667,265",97.81%,,DT2,S,"961,145",,,,,
,,,#87,FI:,,Xepei,1.090,11 / 20,8 / 11,"737,484",98.06%,,NM2,S,"989,361",,,,,
,,,#88,KZ:,,shiyumi,1.088,10 / 19,6 / 11,"667,571",98.30%,,HD1, S ,"974,932",,,,,
,,,#89,TW:,,Rizer,1.086,8 / 17,5 / 11,"807,810",99.38%,,NM2,S,"1,001,405",,,,,
,,,#90,SE:,,Lightningfox,1.085,8 / 23,5 / 11,"755,595",97.29%,,NM3,S,"943,386",,,,,
,,,#91,NL:,,John Zenith,1.082,9 / 21,6 / 11,"712,378",97.54%,,NM2,S,"945,781",,,,,
,,★,#92,TH:,,Arz3,1.081,14 / 19,9 / 11,"668,293",97.55%,,NM4,S,"889,049",,,,,
,,,#93,PH:,,zonelouise,1.077,13 / 22,7 / 11,"718,640",98.70%,,DT1,S,"1,011,485",,,,,
,,★,#94,SG:,,Tebi,1.076,21 / 24,11 / 11,"599,343",97.41%,,HD1, S ,"932,360",,,,,
,,,#95,ID:,,MineFrostID,1.071,10 / 18,7 / 11,"683,957",97.79%,,NM2,S,"1,005,781",,,,,
,,★,#96,DK:,,iamVill,1.065,14 / 19,10 / 11,"657,465",95.57%,,FM2,S,"968,600",,,,,
,,,#97,PH:,,Rammu,1.061,9 / 22,5 / 11,"748,643",98.32%,,HD1, S ,"949,658",,,,,
,,★,#98,MY:,,mabayu,1.056,15 / 20,8 / 11,"640,071",97.27%,,NM2,S,"908,343",,,,,
,,★,#99,BE:,,Hanori,1.052,22 / 22,14 / 11,"551,025",96.11%,,FM3, S ,"967,025",,,,,
,,,#100,JP:,,RafuNa,1.051,12 / 21,6 / 11,"681,325",98.33%,,DT3,A,"940,602",,,,,
,,,#101,CL:,,NO37,1.051,7 / 21,4 / 11,"723,014",99.00%,,NM3,S,"994,792",,,,,
,,,#102,UA:,,dench,1.050,11 / 20,7 / 11,"607,300",97.16%,,HD1, S ,"960,391",,,,,
,,,#103,ID:,,Hakui Koyori,1.041,9 / 18,7 / 11,"630,232",97.50%,,DT3,S,"962,694",,,,,
,,,#104,ID:,,Thatnoobguy,1.037,11 / 18,8 / 11,"655,430",97.05%,,FM2,S,"965,190",,,,,
,,,#105,FI:,,AllyrD,1.037,8 / 20,5 / 11,"710,164",98.95%,,FM3,SS,"1,002,900",,,,,
,,,#106,MY:,,n0 head,1.032,10 / 20,4 / 11,"733,624",97.64%,,DT1,S,"963,174",,,,,
,,,#107,AT:,,z9a,1.026,11 / 21,6 / 11,"681,882",97.80%,,DT3,S,"989,281",,,,,
,,,#108,IT:,,Duke,1.025,9 / 15,5 / 11,"697,558",97.91%,,NM2,S,"983,252",,,,,
,,,#109,CN:,,Ledeau_Fox,1.025,8 / 21,6 / 11,"785,625",97.31%,,DT1,S,"957,570",,,,,
,,,#110,CL:,,xXChokgamerXx,1.023,7 / 21,4 / 11,"789,619",97.86%,,DT3,S,"982,035",,,,,
,,,#111,AT:,,Akuma no Tenshi,1.022,10 / 21,6 / 11,"743,887",98.32%,,DT3,S,"987,748",,,,,
,,,#112,BE:,,Mornis,1.022,14 / 22,10 / 11,"643,211",97.96%,,NM5,S,"945,920",,,,,
,,,#113,BE:,,5joshi,1.021,15 / 22,9 / 11,"574,061",98.12%,,FM1,A,"811,759",,,,,
,,,#114,ID:,,lifeline,1.020,8 / 18,5 / 11,"715,902",97.77%,,DT3,S,"985,317",,,,,
,,,#115,UA:,,baIner,1.014,10 / 20,5 / 11,"645,942",98.05%,,HD1, S ,"943,092",,,,,
,,,#116,ID:,,MejiroMcQueen,0.999,12 / 18,7 / 11,"591,705",97.59%,,NM4,S,"855,877",,,,,
,,,#117,FR:,,fiaee,0.999,8 / 19,5 / 11,"619,221",98.81%,,FM1, S ,"976,762",,,,,
,,,#118,GR:,,Nekkid,0.999,14 / 22,7 / 11,"580,722",98.01%,,NM5,S,"977,221",,,,,
,,,#119,SE:,,Grippeh,0.997,10 / 23,5 / 11,"701,861",98.19%,,DT2,S,"929,700",,,,,
,,,#120,ID:,,FAW,0.996,4 / 18,2 / 11,"737,866",98.42%,,NM3,A,"851,988",,,,,
,,,#121,FR:,,Satsukiiii,0.994,11 / 19,7 / 11,"619,928",98.34%,,FM1,S,"978,266",,,,,
,,,#122,SE:,,Fejlan,0.991,6 / 23,3 / 11,"714,946",98.10%,,NM3,S,"941,911",,,,,
,,,#123,CN:,,lolol234,0.991,8 / 21,5 / 11,"696,513",97.44%,,HR1,S,"970,623",,,,,
,,,#124,BR:,,VitorSkull,0.988,11 / 22,7 / 11,"657,126",97.85%,,FM2,S,"984,359",,,,,
,,,#125,NO:,,antonyw,0.984,7 / 17,7 / 11,"694,323",98.43%,,NM3,S,"960,684",,,,,
,,,#126,AR:,,Seiong,0.984,10 / 22,5 / 11,"592,656",98.65%,,DT2,S,"979,223",,,,,
,,,#127,ES:,,towny1,0.980,10 / 21,5 / 11,"702,965",98.15%,,NM2,S,"971,714",,,,,
,,,#128,HK:,,flyond,0.976,13 / 25,5 / 11,"629,627",96.95%,,NM5,S,"979,260",,,,,
,,,#129,ID:,,Stixe,0.966,10 / 18,7 / 11,"657,926",97.54%,,NM2,S,"931,266",,,,,
,,,#130,VN:,,baoo,0.966,13 / 22,9 / 11,"649,186",96.39%,,FM2,S,"979,002",,,,,
,,,#131,TR:,,gheanfoil,0.966,9 / 18,5 / 11,"688,214",98.46%,,FM2,S,"977,260",,,,,
,,★,#132,MY:,,Harumi Ena,0.966,14 / 20,7 / 11,"624,430",97.74%,,DT1,S,"1,006,723",,,,,
,,★,#133,PE:,,P r a h,0.953,16 / 21,7 / 11,"546,291",95.71%,,NM4,S,"866,274",,,,,
,,,#134,IT:,,-NyX,0.951,6 / 15,3 / 11,"603,682",98.16%,,NM3,A,"771,015",,,,,
,,,#135,JP:,,hosesan1020,0.949,10 / 21,4 / 11,"665,970",96.93%,,NM2,S,"991,980",,,,,
,,,#136,TR:,,Orkay,0.946,9 / 18,7 / 11,"608,100",98.04%,,NM3,S,"932,720",,,,,
,,,#137,NL:,,John breathe,0.944,8 / 21,5 / 11,"629,001",97.66%,,DT1,S,"1,007,209",,,,,
,,,#138,FI:,,vaadin peukkua,0.944,6 / 20,3 / 11,"806,966",98.03%,,FM2,S,"984,674",,,,,
,,,#139,BR:,,shwq,0.941,5 / 22,3 / 11,"782,576",97.21%,,HR1,S,"955,249",,,,,
,,,#140,NL:,,G e n g a o z o,0.940,11 / 21,5 / 11,"615,746",97.58%,,NM4,S,"865,612",,,,,
,,,#141,ID:,,GNX,0.939,8 / 18,5 / 11,"621,535",97.88%,,NM4,S,"965,675",,,,,
,,,#142,BE:,,MRB,0.932,9 / 22,5 / 11,"628,427",96.24%,,NM3,S,"898,358",,,,,
,,,#143,AT:,,tomadoi,0.932,12 / 21,5 / 11,"536,048",96.92%,,NM5,A,"774,533",,,,,
,,,#144,HK:,,Hibiki,0.916,17 / 25,9 / 11,"541,266",97.08%,,DT1,S,"711,514",,,,,
,,,#145,AR:,,Amuro,0.911,10 / 22,7 / 11,"621,961",98.14%,,FM1,A,"781,858",,,,,
,,,#146,SG:,,qstronaut,0.910,11 / 24,6 / 11,"640,076",98.06%,,FM2,A,"976,018",,,,,
,,,#147,NO:,,Pinguinzi,0.910,6 / 17,4 / 11,"674,150",98.15%,,NM2,A,"919,170",,,,,
,,,#148,UA:,,nooneloves,0.908,11 / 20,6 / 11,"607,656",97.98%,,NM2,A,"912,703",,,,,
,,,#149,GR:,,MyAimPeeps,0.907,14 / 22,8 / 11,"591,907",97.25%,,FM2,S,"983,246",,,,,
,,,#150,TR:,,spray-,0.902,7 / 18,5 / 11,"544,934",97.79%,,NM4,A,"619,504",,,,,
,,,#151,TR:,,LyeRR,0.900,7 / 18,4 / 11,"665,478",97.29%,,NM2,S,"960,525",,,,,
,,,#152,SG:,,Cymango,0.900,9 / 24,4 / 11,"715,928",97.12%,,DT1,S,"963,179",,,,,
,,,#153,PH:,,Jitterish,0.895,9 / 22,4 / 11,"656,269",96.70%,,DT2,S,"938,198",,,,,
,,,#154,FI:,,savilju,0.892,9 / 20,6 / 11,"581,833",98.40%,,HD1, S ,"733,824",,,,,
,,,#155,KZ:,,3uma,0.888,11 / 19,6 / 11,"543,112",96.83%,,FM1,A,"711,205",,,,,
,,,#156,PT:,,Meower,0.879,9 / 24,5 / 11,"659,118",97.15%,,FM2,S,"971,245",,,,,
,,★,#157,DK:,,Polle,0.872,14 / 19,9 / 11,"533,862",96.12%,,NM2,A,"771,504",,,,,
,,,#158,FR:,,Geordie Greep,0.871,8 / 19,3 / 11,"636,734",98.20%,,FM3,A,"799,058",,,,,
,,,#159,VN:,,Another Guy,0.869,14 / 22,7 / 11,"570,672",97.69%,,DT1,S,"1,015,179",,,,,
,,,#160,UA:,,EPEMA,0.863,11 / 20,6 / 11,"530,366",95.56%,,HD1, S ,"883,937",,,,,
,,,#161,AT:,,Teppi,0.861,10 / 21,4 / 11,"548,577",97.40%,,NM4,S,"745,452",,,,,
,,,#162,PE:,,MiguisXD,0.859,14 / 21,7 / 11,"500,437",96.18%,,NM4,S,"852,568",,,,,
,,,#163,ES:,,BabyScylla,0.855,8 / 21,6 / 11,"604,799",97.74%,,NM2,S,"933,096",,,,,
,,,#164,IT:,,BELLOFIGO,0.848,8 / 15,4 / 11,"569,679",96.75%,,NM4,A,"760,792",,,,,
,,,#165,SG:,,GSBlank,0.846,11 / 24,5 / 11,"572,664",97.30%,,DT1,A,"891,273",,,,,
,,,#166,RO:,,AlexBelea,0.838,3 / 20,3 / 11,"762,548",98.70%,,HR2,S,"917,684",,,,,
,,,#167,CL:,,Hanayume,0.838,5 / 21,2 / 11,"665,548",98.49%,,DT3,S,"980,286",,,,,
,,,#168,KZ:,,ItzZeroIce,0.838,6 / 19,2 / 11,"653,728",97.94%,,DT2,S,"929,688",,,,,
,,,#169,JP:,,Homutan,0.833,6 / 21,4 / 11,"656,633",98.04%,,HR1,S,"882,926",,,,,
,,,#170,TH:,,ChaiPhukChep,0.825,3 / 19,2 / 11,"881,212",98.74%,,NM2,S,"986,603",,,,,
,,,#171,BR:,,kagiura,0.823,6 / 22,6 / 11,"658,025",98.04%,,HD1, S ,"969,832",,,,,
,,,#172,AR:,,smashcae,0.822,7 / 22,5 / 11,"582,476",96.86%,,NM3,S,"889,388",,,,,
,,,#173,SG:,,Eagle5324,0.821,9 / 24,4 / 11,"572,295",97.37%,,NM4,S,"936,164",,,,,
,,,#174,PH:,,perhap,0.817,7 / 22,4 / 11,"658,286",96.90%,,NM5,S,"942,185",,,,,
,,,#175,PT:,,Kuronora,0.814,12 / 24,6 / 11,"524,029",97.09%,,NM4,A,"856,562",,,,,
,,,#176,DK:,,thebeastjona,0.806,13 / 19,11 / 11,"494,983",97.47%,,NM4,S,"896,936",,,,,
,,,#177,ES:,,Palodex,0.804,10 / 21,5 / 11,"522,531",96.75%,,NM4,A,"819,608",,,,,
,,,#178,PT:,,Big Yikes,0.804,11 / 24,5 / 11,"510,240",96.72%,,NM5,A,"732,623",,,,,
,,,#179,AR:,,Tofy,0.800,5 / 22,2 / 11,"734,502",98.39%,,DT2,S,"975,904",,,,,
,,,#180,MY:,,Chiyuu,0.798,8 / 20,5 / 11,"574,068",96.86%,,NM4,S,"880,750",,,,,
,,,#181,UA:,,Kotsik,0.795,10 / 20,4 / 11,"525,124",95.58%,,DT2,S,"864,898",,,,,
,,,#182,JP:,,Aotoleen,0.792,6 / 21,4 / 11,"661,346",96.47%,,NM2,S,"934,216",,,,,
,,,#183,FR:,,JapWhite,0.790,5 / 19,2 / 11,"683,539",99.07%,,DT2,S,"977,044",,,,,
,,,#184,TW:,,Spinesnight,0.790,4 / 17,3 / 11,"570,172",96.36%,,HD1,A,"733,590",,,,,
,,,#185,SE:,,Guyra_,0.790,8 / 23,5 / 11,"534,160",96.78%,,NM4,S,"755,893",,,,,
,,,#186,TR:,,Clutch,0.785,10 / 18,5 / 11,"538,703",97.05%,,NM2,A,"741,537",,,,,
,,,#187,PH:,,LordGabriel,0.782,6 / 22,4 / 11,"648,974",98.01%,,DT1,S,"994,323",,,,,
,,,#188,VN:,,smthelse,0.777,10 / 22,6 / 11,"529,224",96.67%,,NM4,A,"701,587",,,,,
,,,#189,VN:,,Seamie,0.770,10 / 22,7 / 11,"519,394",97.09%,,NM3,A,"820,916",,,,,
,,,#190,BE:,,Vinnie,0.759,5 / 22,3 / 11,"617,244",97.40%,,DT3,A,"829,577",,,,,
,,,#191,TW:,,Shirosora,0.753,5 / 17,4 / 11,"610,629",97.75%,,HR1,A,"827,993",,,,,
,,,#192,JP:,,haga1115,0.752,6 / 21,3 / 11,"594,513",98.66%,,HD1, S ,"675,290",,,,,
,,,#193,NZ:,,HaSappy,0.749,1 / 20,1 / 11,"771,936",98.24%,,DT2,S,"771,936",,,,,
,,,#194,NO:,,HUNDUR,0.744,2 / 17,1 / 11,"781,708",97.58%,,NM2,S,"919,235",,,,,
,,,#195,TH:,,miinr,0.742,4 / 19,4 / 11,"537,068",97.42%,,HD1,A,"750,205",,,,,
,,,#196,CL:,,Lasseh,0.739,7 / 21,6 / 11,"566,320",96.49%,,NM4,S,"851,589",,,,,
,,,#197,DK:,,mads,0.737,5 / 19,3 / 11,"532,844",98.14%,,DT2,A,"572,628",,,,,
,,,#198,CN:,,z980838928,0.737,5 / 21,3 / 11,"641,482",97.21%,,NM2,S,"942,827",,,,,
,,,#199,NZ:,,pii,0.736,5 / 20,4 / 11,"577,699",98.42%,,NM3,A,"777,379",,,,,
,,,#200,FI:,,Mike Tyson,0.736,6 / 20,4 / 11,"537,503",97.08%,,DT3,S,"969,764",,,,,
,,,#201,KZ:,,Ravexi,0.733,7 / 19,4 / 11,"568,432",96.90%,,DT3,A,"805,000",,,,,
,,,#202,HK:,,ming0328ming,0.731,6 / 25,3 / 11,"573,482",98.48%,,NM5,S,"748,478",,,,,
,,,#203,VN:,,_Casiofx580vnx,0.727,13 / 22,7 / 11,"471,925",96.14%,,HR2,A,"668,596",,,,,
,,,#204,UY:,,El Milanga,0.718,7 / 24,5 / 11,"584,766",97.69%,,DT1,S,"994,605",,,,,
