#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Performance Scores,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,,
,,★,#1,PL:,,MALISZEWSKI,2.591,20 / 22,10 / 11,"828,723",99.18%,,NM1,S,"1,015,930",0.91,,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#58,RO:,,etn,1.628,21 / 22,11 / 11,"546,320",97.68%,,NM2,S,"984,614",,,,,,
,,★,#59,ES:,,ESCRUPULILLO,1.627,20 / 22,10 / 11,"557,342",97.75%,,NM1,S,"1,013,472",,,,,,
,,,#60,TH:,,miinr,1.618,7 / 22,4 / 11,"620,036",97.22%,,HD2, S ,"924,428",,,,,,
,,★,#61,PT:,,RafaMat,1.617,22 / 22,11 / 11,"536,781",97.73%,,NM2,S,"987,492",,,,,,
,,★,#62,NL:,,Wind Tales,1.615,22 / 22,11 / 11,"534,849",96.45%,,NM2,S,"938,393",,,,,,
,,,#63,RU:,,BJIADOC,1.610,10 / 22,6 / 11,"584,736",98.25%,,HD2,A,"914,485",,,,,,
,,★,#64,TH:,,Lesperry,1.608,16 / 22,8 / 11,"598,025",97.52%,,NM1,S,"1,008,687",,,,,,
,,★,#65,NZ:,,Kyujin,1.607,22 / 22,11 / 11,"557,995",97.68%,,DT1,S,"949,079",,,,,,
,,,#66,US:,,BoshyMan741,1.603,6 / 21,3 / 11,"691,593",98.99%,,NM1,A,"795,473",,,,,,
,,★,#67,DK:,,Sobu-,1.603,22 / 22,11 / 11,"542,463",97.00%,,NM1,S,"983,870",,,,,,
,,,#68,DE:,,Denzel Curry,1.601,12 / 22,7 / 11,"613,051",98.74%,,NM2,S,"993,823",,,,,,
,,★,#69,IT:,,kusuriya,1.594,18 / 22,9 / 11,"563,351",97.53%,,NM3,S,"949,250",,,,,,
,,★,#70,ES:,,A L E P H,1.584,20 / 22,10 / 11,"525,293",97.36%,,NM2,S,"964,148",,,,,,
,,★,#71,RO:,,Kehest,1.574,18 / 22,10 / 11,"552,840",97.07%,,NM1,S,"999,175",,,,,,
,,,#72,US:,,WindowLife,1.570,8 / 21,4 / 11,"775,437",98.96%,,DT1,S,"994,160",,,,,,
,,★,#73,HU:,,defii,1.568,22 / 22,11 / 11,"514,713",96.49%,,DT1,S,"938,798",,,,,,
,,,#74,BR:,,Nyash,1.548,14 / 22,6 / 11,"605,648",98.00%,,NM2,S,"973,490",,,,,,
,,,#75,UA:,,POMAH,1.517,15 / 22,8 / 11,"568,998",97.40%,,NM3,S,"908,426",,,,,,
,,★,#76,TW:,,willy0214,1.507,17 / 22,8 / 11,"565,527",97.87%,,DT1,S,"963,776",,,,,,
,,★,#77,NZ:,,5aiyku,1.506,17 / 22,8 / 11,"529,661",97.63%,,NM4,S,"817,293",,,,,,
,,★,#78,UA:,,nooneloves,1.503,20 / 22,10 / 11,"527,261",96.65%,,DT1,S,"909,503",,,,,,
,,★,#79,FI:,,Amasetic,1.502,16 / 22,9 / 11,"560,829",97.67%,,DT2,S,"974,314",,,,,,
,,,#80,TW:,,GAO HAO,1.502,12 / 22,6 / 11,"514,295",97.07%,,DT3,A,"747,384",,,,,,
,,★,#81,AT:,,z10a,1.498,15 / 20,9 / 11,"539,967",96.67%,,NM2,S,"949,921",,,,,,
,,★,#82,SK:,,Drxvmik,1.495,20 / 20,11 / 11,"494,796",95.23%,,NM2,S,"953,116",,,,,,
,,,#83,CL:,,NO37,1.486,6 / 22,3 / 11,"545,520",98.31%,,HD2, S ,"979,923",,,,,,
,,,#84,RU:,,Lexu2S,1.486,12 / 22,6 / 11,"585,189",97.90%,,NM2,S,"977,315",,,,,,
,,★,#85,FR:,,Satsukiiii,1.483,16 / 22,8 / 11,"510,978",97.69%,,NM4,S,"874,320",,,,,,
,,,#86,PL:,,gnahus,1.465,12 / 22,6 / 11,"619,167",98.81%,,DT1,S,"979,375",,,,,,
,,,#87,AU:,,palr,1.460,11 / 22,5 / 11,"590,691",96.68%,,NM3,S,"900,816",,,,,,
,,,#88,KR:,,Allegrissimo,1.457,12 / 22,6 / 11,"535,090",97.53%,,NM3,S,"962,544",,,,,,
,,★,#89,NO:,,Melvr,1.448,16 / 22,8 / 11,"503,141",97.00%,,NM4,S,"690,310",,,,,,
,,,#90,FR:,,Musty,1.443,15 / 22,8 / 11,"511,791",98.04%,,HD1,A,"659,583",,,,,,
,,,#91,KR:,,Nopekjk,1.434,8 / 22,4 / 11,"622,493",97.41%,,NM3,S,"961,256",,,,,,
,,,#92,DE:,,Tim Kackner,1.429,9 / 22,5 / 11,"650,495",98.68%,,NM2,S,"981,967",,,,,,
,,★,#93,UA:,,dench,1.424,19 / 22,9 / 11,"480,823",96.54%,,NM3,S,"900,456",,,,,,
,,★,#94,PT:,,uatzap,1.421,22 / 22,11 / 11,"460,587",97.12%,,DT1,S,"851,456",,,,,,
,,★,#95,BE:,,hexi,1.421,22 / 22,11 / 11,"465,311",97.34%,,DT1,S,"653,206",,,,,,
,,,#96,NO:,,YokesPai,1.419,10 / 22,5 / 11,"543,650",97.00%,,NM3,A,"760,569",,,,,,
,,★,#97,HK:,,F2X,1.413,21 / 22,10 / 11,"486,468",96.13%,,DT1,S,"725,788",,,,,,
,,★,#98,UY:,,helvetia,1.405,21 / 22,10 / 11,"486,752",96.99%,,DT1,S,"966,638",,,,,,
