username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
MejiroMcQueen,,,38.38,,38.83,87.93,0.8875,0.9603,39.34,True,46.16,2,91.0,"MejiroMcQueen scores 39.34 with consistency score 87.9, recent tournament form 38.8, bancho score 38.4; reliability 0.887, activity 0.960, provisional",{}
hollowknees,,,32.8,,40.67,94.59,0.8875,0.9409,39.19,True,46.93,2,161.0,"hollowknees scores 39.19 with consistency score 94.6, recent tournament form 40.7, bancho score 32.8; reliability 0.887, activity 0.941, provisional",{}
HUNDUR,,,47.94,,36.78,82.96,0.8875,0.9439,38.94,True,46.48,2,148.0,"HUNDUR scores 38.94 with consistency score 83.0, bancho score 47.9, recent tournament form 36.8; reliability 0.887, activity 0.944, provisional",{}
lolol234,,,34.44,,40.55,89.34,0.8875,0.9439,38.92,True,46.46,2,148.0,"lolol234 scores 38.92 with consistency score 89.3, recent tournament form 40.5, bancho score 34.4; reliability 0.887, activity 0.944, provisional",{}
z9a,,,53.94,,50.56,25.0,0.8688,0.9423,38.89,True,47.51,1,155.0,"z9a scores 38.89 with bancho score 53.9, recent tournament form 50.6, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
Lesperry,,,44.79,,54.16,25.0,0.8688,0.9409,38.81,True,47.47,1,161.0,"Lesperry scores 38.81 with recent tournament form 54.2, bancho score 44.8, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
mint breeze,,,36.44,,57.56,25.0,0.8688,0.9391,38.76,True,47.51,1,169.0,"mint breeze scores 38.76 with recent tournament form 57.6, bancho score 36.4, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
GSBlank,,,33.86,,39.94,92.25,0.8875,0.9409,38.74,True,46.39,2,161.0,"GSBlank scores 38.74 with consistency score 92.2, recent tournament form 39.9, bancho score 33.9; reliability 0.887, activity 0.941, provisional",{}
z980838928,,,36.04,,38.43,93.68,0.8875,0.9439,38.72,True,46.22,2,148.0,"z980838928 scores 38.72 with consistency score 93.7, recent tournament form 38.4, bancho score 36.0; reliability 0.887, activity 0.944, provisional",{}
Allegrissimo,,,47.58,,52.36,25.0,0.8688,0.9457,38.66,True,47.05,1,141.0,"Allegrissimo scores 38.66 with recent tournament form 52.4, bancho score 47.6, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
skia1,,,38.73,,38.96,86.71,0.8875,0.9439,38.65,True,46.14,2,148.0,"skia1 scores 38.65 with consistency score 86.7, recent tournament form 39.0, bancho score 38.7; reliability 0.887, activity 0.944, provisional",{}
ozbert,,,48.95,,51.64,25.0,0.8688,0.9459,38.58,True,46.95,1,140.0,"ozbert scores 38.58 with recent tournament form 51.6, bancho score 48.9, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
scylla,,,40.58,,54.68,25.0,0.8688,0.9459,38.43,True,46.77,1,140.0,"scylla scores 38.43 with recent tournament form 54.7, bancho score 40.6, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
Endura,,,40.66,,34.21,99.19,0.8875,0.9478,38.37,True,45.62,2,133.0,"Endura scores 38.37 with consistency score 99.2, bancho score 40.7, recent tournament form 34.2; reliability 0.887, activity 0.948, provisional",{}
-Kedama,,,44.54,,53.26,25.0,0.8688,0.9409,38.31,True,46.86,1,161.0,"-Kedama scores 38.31 with recent tournament form 53.3, bancho score 44.5, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Saryi,,,41.21,,55.69,25.0,0.8688,0.9202,38.0,True,47.53,1,288.0,"Saryi scores 38.00 with recent tournament form 55.7, bancho score 41.2, consistency score 25.0; reliability 0.869, activity 0.920, provisional",{}
Jitterish,,,35.15,,38.74,88.57,0.8875,0.9425,37.99,True,45.42,2,154.0,"Jitterish scores 37.99 with consistency score 88.6, recent tournament form 38.7, bancho score 35.1; reliability 0.887, activity 0.943, provisional",{}
calangi,,,29.51,,58.36,25.0,0.8688,0.9425,37.92,True,46.31,1,154.0,"calangi scores 37.92 with recent tournament form 58.4, bancho score 29.5, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
-Puyu,,,42.87,,53.24,25.0,0.8688,0.9393,37.9,True,46.45,1,168.0,"-Puyu scores 37.90 with recent tournament form 53.2, bancho score 42.9, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
FlasTEH,,,54.29,,48.41,25.0,0.8688,0.9425,37.9,True,46.29,1,154.0,"FlasTEH scores 37.90 with bancho score 54.3, recent tournament form 48.4, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
