username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
kusuriya,,,,,32.82,25.0,0.8688,0.9404,25.54,True,31.26,1,163.0,"kusuriya scores 25.54 with recent tournament form 32.8, consistency score 25.0; reliability 0.869, activity 0.940, provisional",{}
Pipipupu997,,,,,32.65,25.0,0.8688,0.9407,25.43,True,31.12,1,162.0,"Pipipupu997 scores 25.43 with recent tournament form 32.6, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Deshoou,,,,,33.43,25.0,0.8688,0.9154,25.25,True,31.74,1,337.0,"Deshoou scores 25.25 with recent tournament form 33.4, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
paxyh,,,,,33.33,25.0,0.8688,0.9159,25.2,True,31.66,1,331.0,"paxyh scores 25.20 with recent tournament form 33.3, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
orngoos,,,,,32.96,25.0,0.8688,0.9187,25.04,True,31.37,1,302.0,"orngoos scores 25.04 with recent tournament form 33.0, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
1ncert,,,,,32.94,25.0,0.8688,0.9193,25.04,True,31.35,1,296.0,"1ncert scores 25.04 with recent tournament form 32.9, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Vinnie,,,,,32.07,25.0,0.8688,0.9391,25.01,True,30.66,1,169.0,"Vinnie scores 25.01 with recent tournament form 32.1, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
vljoy209,,,,,32.75,25.0,0.8688,0.9186,24.9,True,31.2,1,303.0,"vljoy209 scores 24.90 with recent tournament form 32.8, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Belladonna,,,,,32.63,25.0,0.8688,0.9186,24.82,True,31.1,1,303.0,"Belladonna scores 24.82 with recent tournament form 32.6, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Tutel,,,,,31.66,25.0,0.8688,0.9407,24.79,True,30.33,1,162.0,"Tutel scores 24.79 with recent tournament form 31.7, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
wessel_osu2,,,,,32.7,25.0,0.8688,0.9147,24.76,True,31.16,1,345.0,"wessel_osu2 scores 24.76 with recent tournament form 32.7, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
RAiMEi_BOTTliUM,,,,,32.7,25.0,0.8688,0.9147,24.76,True,31.16,1,345.0,"RAiMEi_BOTTliUM scores 24.76 with recent tournament form 32.7, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
Jokupoika24,,,,,33.39,25.0,0.85,0.9082,24.48,True,31.71,0,451.0,"Jokupoika24 scores 24.48 with recent tournament form 33.4, consistency score 25.0; reliability 0.850, activity 0.908, provisional",{}
nicki1324,,,,,33.32,25.0,0.85,0.9096,24.48,True,31.66,0,422.0,"nicki1324 scores 24.48 with recent tournament form 33.3, consistency score 25.0; reliability 0.850, activity 0.910, provisional",{}
Seiong,,,,,31.02,25.0,0.8688,0.9407,24.37,True,29.82,1,162.0,"Seiong scores 24.37 with recent tournament form 31.0, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
RyooYamada,,,,,31.89,25.0,0.8688,0.9187,24.35,True,30.51,1,302.0,"RyooYamada scores 24.35 with recent tournament form 31.9, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
perthed again,,,,,31.0,25.0,0.8688,0.9407,24.35,True,29.8,1,162.0,"perthed again scores 24.35 with recent tournament form 31.0, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Bomilk,,,,,30.94,25.0,0.8688,0.9407,24.32,True,29.75,1,162.0,"Bomilk scores 24.32 with recent tournament form 30.9, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
-NyX,,,,,30.94,25.0,0.8688,0.9404,24.31,True,29.75,1,163.0,"-NyX scores 24.31 with recent tournament form 30.9, consistency score 25.0; reliability 0.869, activity 0.940, provisional",{}
Mornis,,,,,30.94,25.0,0.8688,0.9391,24.27,True,29.75,1,169.0,"Mornis scores 24.27 with recent tournament form 30.9, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
Ole,,,,,31.71,25.0,0.8688,0.916,24.17,True,30.37,1,330.0,"Ole scores 24.17 with recent tournament form 31.7, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
Accolibed,,,,,30.53,25.0,0.8688,0.9437,24.12,True,29.42,1,149.0,"Accolibed scores 24.12 with recent tournament form 30.5, consistency score 25.0; reliability 0.869, activity 0.944, provisional",{}
Hibiki,,,,,30.62,25.0,0.8688,0.9391,24.07,True,29.5,1,169.0,"Hibiki scores 24.07 with recent tournament form 30.6, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
